q_id,text,dimension,opt_0,opt_1,opt_2,opt_3,opt_4,val_0,val_1,val_2,val_3,val_4
56,感到身体的某一部分软弱无力,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
57,感到紧张或容易紧张,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
58,感到手或脚发重,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
59,想到死亡,其他,没有,很轻,中等,偏重,严重,1,2,3,4,5
60,吃得太多,其他,没有,很轻,中等,偏重,严重,1,2,3,4,5
61,当别人看着您或谈论您时感到不自在,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
62,有一些不属于您自己的想法,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
63,有想打人或伤害他人的冲动,敌对,没有,很轻,中等,偏重,严重,1,2,3,4,5
64,醒得太早,其他,没有,很轻,中等,偏重,严重,1,2,3,4,5
65,必须反复洗手、点数目或触摸某些东西,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
66,睡得不稳不深,其他,没有,很轻,中等,偏重,严重,1,2,3,4,5
67,有想摔坏或破坏东西的冲动,敌对,没有,很轻,中等,偏重,严重,1,2,3,4,5
68,有一些别人没有的想法或念头,偏执,没有,很轻,中等,偏重,严重,1,2,3,4,5
69,感到对别人神经过敏,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
70,在商店或电影院等人多的地方感到不自在,恐怖,没有,很轻,中等,偏重,严重,1,2,3,4,5
71,感到任何事情都很困难,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
72,一阵阵恐惧或惊恐,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
73,感到在公共场合吃东西很不舒服,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
74,经常与人争论,敌对,没有,很轻,中等,偏重,严重,1,2,3,4,5
75,单独一人时神经很紧张,恐怖,没有,很轻,中等,偏重,严重,1,2,3,4,5
76,别人对您的成绩没有做出恰当的评价,偏执,没有,很轻,中等,偏重,严重,1,2,3,4,5
77,即使和别人在一起也感到孤单,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
78,感到坐立不安心神不定,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
79,感到自己没有什么价值,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
80,感到熟悉的东西变成陌生或不像是真的,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
81,大叫或摔东西,敌对,没有,很轻,中等,偏重,严重,1,2,3,4,5
82,害怕会在公共场合晕倒,恐怖,没有,很轻,中等,偏重,严重,1,2,3,4,5
83,感到别人想占您的便宜,偏执,没有,很轻,中等,偏重,严重,1,2,3,4,5
84,为一些有关性的想法而很苦恼,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
85,您认为应该因为自己的过错而受到惩罚,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
86,感到要赶快把事情做完,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
87,感到自己的身体有严重问题,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
88,从未感到和其他人很亲近,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
89,感到自己有罪,其他,没有,很轻,中等,偏重,严重,1,2,3,4,5
90,感到自己的脑子有毛病,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
